company,segment,contact_channel,offer_price_eur,message
Auto prekyba 1,used cars,facebook,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Auto prekyba 2,used cars,facebook,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Auto prekyba 3,used cars,email,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Moto prekyba 1,motorcycles,facebook,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Moto prekyba 2,motorcycles,email,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Detalių pardavėjas 1,parts,facebook,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Detalių pardavėjas 2,parts,email,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Marketplace 1,ecommerce,email,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Marketplace 2,ecommerce,facebook,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Marketplace 3,ecommerce,email,19,"Sveiki, galiu per 24h sukurti vertikalų produkto video iš jūsų nuotraukų už 19 EUR."
Seller11,general,email,19,test
Seller12,general,email,19,test
Seller13,general,email,19,test
Seller14,general,email,19,test
Seller15,general,email,19,test
Seller16,general,email,19,test
Seller17,general,email,19,test
Seller18,general,email,19,test
Seller19,general,email,19,test
Seller20,general,email,19,test
